Date,Score,Store,Year,Comment
02/1/2022 13:04:01,10,Tatuapé,2022,Very good
02/2/2022 12:54:02,9,Tatuapé,2022,"Very good, no criticism"
02/2/2022 15:12:20,10,Tucuruvi,2022,Exceptional service by the entire team
02/2/2022 16:00:41,10,Sorocaba,2022,Om
02/2/2022 18:35:15,10,Tijuca,2022,"In the Loja Renner app, in the CARDS tab, it is not possible to generate the payment slip objectively."
02/2/2022 21:28:24,10,Lapa,2022,They are great.
02/3/2022 14:19:46,10,Ipiranga,2022,"Super punctual service, I arrived at the unit and was immediately attended to."
02/3/2022 15:37:37,10,Lapa,2022,Top service
02/3/2022 19:25:30,10,Lapa,2022,All attendants are very attentive
02/3/2022 20:40:35,10,Lapa,2022,"People are very receptive, all information is very clear."
02/4/2022 8:25:20,5,Santo Amaro,2022,"Upon return, the amount needed for local support was not applied. Very dissatisfied. I will not return!"
02/4/2022 10:26:29,10,Santo Amaro,2022,Pay more attention to the schedule to avoid delays
02/4/2022 12:55:32,10,Belo Horizonte,2022,It was all great
02/4/2022 13:00:33,8,Santo Amaro,2022,It's great
02/4/2022 16:50:04,8,Paulista,2022,It does not have
02/4/2022 17:04:32,10,Moema,2022,"I am very happy with my treatment, I fulfilled a dream of years. And the girls were very friendly and also convincing and I ended up doing it and I saw a lot of change in everything, including my self-esteem."
02/6/2022 19:48:45,9,Barra da Tijuca,2022,It was amazing
02/6/2022 19:50:07,9,Londrina,2022,"Great service from all employees, they are all attentive!!!"
02/7/2022 8:47:30,10,Belo Horizonte,2022,"Very good service. Punctual, discreet and very attentive professional."
02/7/2022 8:47:34,10,Ipiranga,2022,.
02/7/2022 8:47:38,10,Moema,2022,"I loved it, but I had lip fillers and they didn't schedule a follow-up to reevaluate."
02/7/2022 8:47:38,10,Paulista,2022,I have no points to add
