n,add_k,acc_train,acc_test_a,f1_test_a,acc_test_b,f1_test_b,train_minus_test_a
1,0.001,0.709,0.4498,0.3612,0.6873,0.7094,0.2592
1,0.01,0.709,0.4498,0.3612,0.6873,0.7094,0.2592
1,0.1,0.709,0.4498,0.3612,0.6873,0.7094,0.2592
1,1.0,0.7118,0.4578,0.3755,0.6947,0.714,0.254
1,5.0,0.712,0.4538,0.3701,0.6967,0.7148,0.2582
1,25.0,0.7138,0.4699,0.3884,0.7153,0.7279,0.2439
2,0.001,0.9374,0.4398,0.3796,0.6883,0.6981,0.4976
2,0.01,0.9352,0.4398,0.3823,0.7114,0.7202,0.4954
2,0.1,0.9328,0.4518,0.4014,0.7217,0.7286,0.481
2,1.0,0.9308,0.4518,0.4007,0.7188,0.7262,0.479
2,5.0,0.9292,0.4498,0.4034,0.7227,0.7283,0.4794
2,25.0,0.9288,0.4498,0.4034,0.7222,0.7276,0.479
3,0.001,0.9876,0.4217,0.4239,0.5329,0.5575,0.5659
3,0.01,0.9864,0.4177,0.4194,0.5526,0.5768,0.5687
3,0.1,0.9856,0.4257,0.4279,0.5531,0.5793,0.5599
3,1.0,0.9852,0.4197,0.4215,0.5497,0.5763,0.5655
3,5.0,0.985,0.4217,0.4232,0.5497,0.5762,0.5633
3,25.0,0.9846,0.4237,0.4255,0.5492,0.5757,0.5609
