model,treatment,roc_auc,sensitivity_low,specificity_high,balanced_accuracy,f1_low,roc_auc_std,sensitivity_low_std,specificity_high_std,balanced_accuracy_std,f1_low_std,best_params,passes_auc,passes_sensitivity,passes_specificity,passes_all_gates
Majority baseline,Original,0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,{},False,False,True,False
Logistic Regression,Original,0.8039417125633562,0.5937106918238994,0.835707710577538,0.7147092012007187,0.63504771471931,0.021925105439877794,0.03631496863711207,0.015646337051657203,0.02526613307811922,0.03432083633335721,"{""model__C"": 0.1}",True,False,True,False
KNN,Original,0.8206493626391558,0.5823899371069181,0.8619614787331971,0.7221757079200575,0.6419310312174864,0.01839484306313867,0.033005388084029995,0.017002703676200118,0.02076503869422395,0.029393807557112153,"{""model__n_neighbors"": 31, ""model__weights"": ""distance""}",True,False,True,False
Decision Tree,Original,0.7918263797655671,0.6471698113207547,0.7940707324100035,0.7206202718653791,0.6495928242441618,0.015837307531746368,0.02080230868998896,0.01788456333345872,0.012109280517306335,0.01534862480559407,"{""model__criterion"": ""gini"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 20}",True,False,True,False
SVM,Original,0.8274323168289983,0.6358490566037736,0.8447105283498816,0.7402797924768275,0.6706650080927132,0.02017163222678851,0.021365141825739654,0.017661244129112262,0.015144501866562262,0.019861837837053198,"{""model__C"": 1, ""model__kernel"": ""rbf""}",True,False,True,False
GaussianNB,Original,0.756141770554869,0.459748427672956,0.8214516095031303,0.6406000185880432,0.5226912933866551,0.026029487493623958,0.022884786664981446,0.022366236544808186,0.016240235225617152,0.022551045548530498,"{""model__var_smoothing"": 1e-07}",True,False,True,False
BernoulliNB,Original,0.7302400305929317,0.5962264150943396,0.7314297559570238,0.6638280855256816,0.5825349414657209,0.02495261021965636,0.03436748702468993,0.02090970124306219,0.0233652602866601,0.02909810313382958,"{""model__alpha"": 0.1}",False,False,True,False
MultinomialNB,Original,0.7243564442461012,0.02012578616352201,0.997749295556914,0.508937540860218,0.03902133549695237,0.025203770390679368,0.012195421024946739,0.0014041875109803762,0.005963080761967043,0.023259032491488623,"{""model__alpha"": 0.1}",False,False,True,False
ComplementNB,Original,0.7243564442461012,0.45094339622641516,0.7543127375958288,0.602628066911122,0.4832587782930148,0.025203770390679368,0.049705433480450895,0.019362506795608636,0.027886237073497626,0.04301630375421834,"{""model__alpha"": 0.1}",False,False,True,False
Random Forest,Original,0.8361295875642014,0.6238993710691824,0.8529628770790734,0.7384311240741279,0.6672056006889023,0.016247508781511245,0.008343710164416098,0.015318898733345587,0.007986725623564207,0.009854695633161721,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}",True,False,True,False
Logistic Regression,SMOTE,0.8038568620793267,0.7528301886792453,0.7243073269107798,0.7385687577950126,0.6796746089030627,0.022070921463007882,0.028238923673765636,0.01620357598922299,0.02002739595479922,0.02282110229168677,"{""model__C"": 0.1}",True,True,True,True
KNN,SMOTE,0.8179797267469258,0.761006289308176,0.7160507620633683,0.7385285256857722,0.6802289485714622,0.018596891438733564,0.03022796186339102,0.015554887502479834,0.01924309676050546,0.022055452648572324,"{""model__n_neighbors"": 31, ""model__weights"": ""distance""}",True,True,True,True
Decision Tree,SMOTE,0.78957543667428,0.7584905660377359,0.7010603537323187,0.7297754598850272,0.6711898761868431,0.017889822424973823,0.03324421455698749,0.02260410908006963,0.018997382139202053,0.021335074976535758,"{""model__criterion"": ""gini"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 10}",True,True,True,True
SVM,SMOTE,0.827591437726807,0.7767295597484278,0.7306842057184616,0.7537068827334448,0.6972325666177854,0.017162459274747244,0.02114180668424106,0.01956889298368925,0.018107812568861844,0.02025280958333242,"{""model__C"": 1, ""model__kernel"": ""rbf""}",True,True,True,True
GaussianNB,SMOTE,0.7664914171279317,0.6301886792452829,0.7528075833913049,0.691498131318294,0.6164161281177997,0.02437896228509856,0.03505125734111389,0.0275032520247699,0.02492324633963615,0.03057349446608148,"{""model__var_smoothing"": 1e-07}",True,False,True,False
BernoulliNB,SMOTE,0.7315034474279447,0.6786163522012578,0.6582885370772462,0.6684524446392521,0.6028127669479988,0.02445584096906485,0.025110018588273112,0.020271441944523023,0.01908118833641943,0.021033529904268048,"{""model__alpha"": 1.0}",False,False,False,False
MultinomialNB,SMOTE,0.7242717219249947,0.4540880503144654,0.7531870340311009,0.6036375421727831,0.48543144141994254,0.025452728482766536,0.04709007936436448,0.02297873280377845,0.026134036029705102,0.04031221694420138,"{""model__alpha"": 1.0}",False,False,True,False
ComplementNB,SMOTE,0.7242717219249947,0.4540880503144654,0.7531870340311009,0.6036375421727831,0.48543144141994254,0.025452728482766536,0.04709007936436448,0.02297873280377845,0.026134036029705102,0.04031221694420138,"{""model__alpha"": 1.0}",False,False,True,False
Random Forest,SMOTE,0.8329413580823892,0.730188679245283,0.7719452466780502,0.7510669629616665,0.6913080996260172,0.01861694604376677,0.021457512087084272,0.01608815714678439,0.017214253336145693,0.020386009157923032,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5}",True,True,True,True
Logistic Regression,Class weight,0.8038122039298374,0.7534591194968554,0.7224318569892699,0.7379454882430627,0.6790877922345285,0.02188672229801195,0.028238923673765633,0.01549267699761272,0.020540631276910054,0.023388251002854507,"{""model__C"": 0.1}",True,True,True,True
Decision Tree,Class weight,0.791443191408806,0.7477987421383647,0.7036595906149208,0.7257291663766428,0.6664426527952765,0.014937222879579767,0.016805521026273484,0.028025778132507725,0.01111156852391889,0.011008034622285572,"{""model__criterion"": ""gini"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 20}",True,True,True,True
SVM,Class weight,0.8298151793425763,0.7817610062893081,0.7306849084048317,0.75622295734707,0.7001132532336289,0.019203671536378992,0.02590095632952708,0.01889984271754191,0.020270854149977886,0.022786473474511588,"{""model__C"": 1, ""model__kernel"": ""rbf""}",True,True,True,True
Random Forest,Class weight,0.8349382623732795,0.7484276729559748,0.7659407916464644,0.7571842323012196,0.6992123169507878,0.017774428907592767,0.024439445569466017,0.017179322245874498,0.019989106046239553,0.023268720139418855,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1}",True,True,True,True
