model,comparison,delta_sensitivity_low,delta_specificity_high,delta_balanced_accuracy,delta_f1_low,delta_roc_auc
Logistic Regression,SMOTE - Original,0.159119496855346,-0.1114003836667582,0.02385955659429395,0.04462689418375276,-8.485048402950834e-05
Logistic Regression,Class weight - Original,0.15974842767295605,-0.11327585358826808,0.02323628704234404,0.044040077515218545,-0.00012950863351879338
KNN,SMOTE - Original,0.17861635220125793,-0.1459107166698288,0.016352817765714733,0.03829791735397581,-0.0026696358922300156
Decision Tree,SMOTE - Original,0.11132075471698122,-0.0930103786776848,0.009155188019648097,0.021597051942681356,-0.0022509430912871498
Decision Tree,Class weight - Original,0.10062893081761004,-0.0904111417950827,0.0051088945112636175,0.01684982855111472,-0.0003831883567610994
SVM,SMOTE - Original,0.14088050314465428,-0.11402632263141999,0.013427090256617258,0.0265675585250722,0.00015912089780867333
SVM,Class weight - Original,0.14591194968553456,-0.1140256199450499,0.0159431648702425,0.029448245140915708,0.002382862513577999
GaussianNB,SMOTE - Original,0.1704402515723269,-0.0686440261118254,0.0508981127302508,0.09372483473114457,0.010349646573062699
BernoulliNB,SMOTE - Original,0.08238993710691822,-0.07314121887977754,0.004624359113570509,0.020277825482277856,0.0012634168350129649
MultinomialNB,SMOTE - Original,0.4339622641509434,-0.24456226152581317,0.09470000131256506,0.4464101059229902,-8.47223211065673e-05
ComplementNB,SMOTE - Original,0.0031446540880502583,-0.0011257035647279645,0.0010094752616610636,0.002172663126927765,-8.47223211065673e-05
Random Forest,SMOTE - Original,0.1062893081761006,-0.08101763040102317,0.012635838887538609,0.024102498937114913,-0.003188229481812188
Random Forest,Class weight - Original,0.12452830188679243,-0.08702208543260892,0.01875310822709164,0.03200671626188545,-0.0011913251909219102
