feature,impurity_importance
sc__days_since_start,0.5767918047278084
sc__temp,0.09552221204473721
sc__temp_sq,0.09304669400095768
sc__atemp,0.0767204489898697
sc__hum,0.06043568956754233
oh__weathersit_3,0.028555760222047217
sc__windspeed,0.026055545800220136
sc__atemp_hum,0.015343972554812665
oh__weathersit_2,0.005761114287005455
pass__workingday,0.004690425181059393
oh__weekday_6,0.003810634821017138
pass__holiday,0.0025033977212574185
oh__season_4,0.002095871585640803
oh__mnth_10,0.0020698499579280805
oh__weekday_1,0.0009937747862349322
oh__weekday_4,0.0009572723615227513
oh__mnth_11,0.0008648994037922019
oh__mnth_5,0.0007524600528122158
oh__weekday_5,0.0006960403611317826
oh__mnth_8,0.00036637107384060414
oh__season_2,0.0003469145607419734
oh__mnth_4,0.0003144139007473612
oh__mnth_7,0.0002761930005710798
oh__mnth_3,0.00026069457229700276
oh__mnth_9,0.00019497251679559649
oh__weekday_2,0.00016374755744511378
oh__weekday_3,0.0001379050505203719
oh__mnth_6,0.00013455274967859768
oh__mnth_12,8.581415480488593e-05
pass__yr,4.829981818703492e-05
oh__season_3,1.8638649494333032e-06
oh__mnth_2,3.887520236018107e-07
