feature,MAE_increase_mean,MAE_increase_std
days_since_start,950.2837692996638,53.080337569267975
atemp,409.7711541007045,41.64524715015132
hum,144.4689302016968,18.570523674613288
temp_sq,110.50469857917548,16.62779912272207
mnth,81.71013496656583,15.542805271556086
windspeed,76.40619069036866,15.944017367296231
weathersit,69.47111260353465,9.731736970544885
workingday,34.08175171373468,9.054087626994878
atemp_hum,29.410527260366266,6.79694437974757
temp,24.922465822784016,8.242228095278776
season,24.347798874134273,5.031848439794569
weekday,23.59527699375523,7.727085593811373
holiday,8.122003781578664,4.138478243935486
yr,0.0,0.0
