model,feature_set,cv_mean_MAE,cv_std_MAE,cv_mean_RMSE,cv_std_RMSE,best_params
Gradient Boosting,core + interactions + trend,476.99618076474144,34.06406870844127,657.5755231289093,45.44445257911009,lr=0.1; depth=2; estimators=400
Random Forest,core + interactions + trend,497.98767466615953,18.073877223460755,723.5464626552102,38.5325750275158,depth=16; leaf=1; estimators=200
Gradient Boosting,core,513.8121866182889,56.38914491115545,690.8283011061551,53.217063792700515,lr=0.05; depth=2; estimators=400
Gradient Boosting,core + interactions,519.4563236857527,47.354811124408634,697.0735037651453,46.401966720835404,lr=0.05; depth=2; estimators=400
Random Forest,core,533.5792776789214,26.54174688578526,746.7734561441823,25.66507279397936,depth=16; leaf=1; estimators=400
Random Forest,core + interactions,539.1152123006216,24.302294718134057,752.5887025368231,23.15875038355329,depth=16; leaf=1; estimators=400
Linear Regression,core + interactions + trend,559.3160317750915,19.771320763302814,752.3866104874629,36.854579867529175,default
Linear Regression,core + interactions,560.3577650794351,19.267542475181642,752.614241464952,38.482124381844095,default
K-Nearest Neighbors,core + interactions + trend,563.031793094265,15.102671466324322,794.0416342646698,40.0066859434374,neighbors=7; weights=distance
Linear Regression,core,591.0120035372188,14.743863713350086,806.8019770169234,41.91461755614162,default
K-Nearest Neighbors,core + interactions,756.4903216582182,39.06484449638687,966.5089915308084,47.95229451434477,neighbors=5; weights=distance
K-Nearest Neighbors,core,760.691996231554,42.67395199844658,957.3047808930262,52.89642703133369,neighbors=5; weights=distance
