feature,mean_abs_shap
sc__days_since_start,1064.3431138214996
sc__temp,310.9319697370297
sc__atemp,291.34269263727083
sc__temp_sq,283.72371537796306
sc__hum,204.51756876374026
sc__windspeed,140.18550266372338
sc__atemp_hum,96.36788941763885
oh__weathersit_2,93.89128432777035
pass__workingday,60.02924523650121
oh__weekday_6,59.49293064881268
oh__weathersit_3,59.13683689815815
oh__weekday_5,23.485199240007507
oh__weekday_1,22.91917156329386
oh__season_4,21.9984252925875
oh__mnth_8,13.854653790978045
oh__mnth_7,11.139471180979085
pass__holiday,9.093406986113816
oh__mnth_12,8.744389930231247
oh__mnth_11,7.821279448931777
oh__mnth_5,6.64184695947256
oh__weekday_4,5.9844227619804355
oh__mnth_9,5.739398047662881
oh__season_2,4.181254381929723
oh__mnth_4,3.679414530453448
oh__mnth_10,2.9925079438736373
oh__mnth_3,2.36856019715223
oh__mnth_6,1.8603263667208794
oh__weekday_3,1.738964146384848
oh__weekday_2,1.464537922517912
pass__yr,0.22703764297667087
oh__season_3,0.05169492833975636
oh__mnth_2,0.009441609971388792
