feature,mean_absolute_SHAP
continuous__days_since_start,1018.0604290652482
continuous__atemp,586.200045535702
continuous__hum,234.5826519258917
continuous__temp_sq,201.11746548126712
continuous__windspeed,136.82366672359572
continuous__temp,119.89822387348977
nominal__weathersit_2,97.6316871057175
binary__workingday,87.9650426932461
nominal__weekday_6,69.74594137978052
nominal__mnth_8,55.72091973166972
nominal__weathersit_3,55.563671777132235
continuous__atemp_hum,52.07952762182458
nominal__weekday_5,32.549848817682594
nominal__mnth_12,31.345977234884867
nominal__season_4,28.313083082941727
nominal__weekday_1,23.754734892146015
nominal__mnth_3,22.80787130552815
nominal__mnth_9,18.22176732001864
binary__holiday,17.82593168365288
nominal__season_2,9.244945587399592
nominal__mnth_7,8.964578645690993
nominal__weekday_4,7.6828880467572995
nominal__mnth_11,7.070533018415303
nominal__mnth_5,4.0775316363292555
nominal__mnth_4,1.9366471861990895
nominal__mnth_6,0.5653689932262238
nominal__mnth_10,0.22128528918467946
binary__yr,0.0106777993209796
nominal__season_3,0.0
nominal__weekday_2,0.0
nominal__mnth_2,0.0
nominal__weekday_3,0.0
