model,feature_set,cv_mean_MAE,cv_std_MAE,cv_mean_RMSE,cv_std_RMSE,best_params
Linear Regression,core + interactions + autoregressive,602.5131595213908,68.48412779462109,763.15053371997,82.35696413079891,default
Linear Regression,core + interactions + autoregressive + trend,665.7617295731125,49.359780262908096,815.205314743309,50.753196617502574,default
Linear Regression,core + interactions,763.8994640629753,128.126499864953,929.9455101635413,96.010115104283,default
Gradient Boosting,core,877.994545691579,356.63193443054456,1008.1868502766301,341.82659260767355,lr=0.1; depth=2; estimators=400
Gradient Boosting,core + interactions,889.4695147219171,371.3384931851793,1025.5227250566543,351.116222522303,lr=0.1; depth=2; estimators=400
Gradient Boosting,core + interactions + autoregressive + trend,900.028689218821,459.11005555811255,1086.3502810929522,406.886020128253,lr=0.05; depth=2; estimators=200
Gradient Boosting,core + interactions + autoregressive,904.963421741715,459.46924706123536,1059.605509556041,425.78486426050483,lr=0.1; depth=3; estimators=200
Linear Regression,core,917.3358414306613,321.45442790610207,1072.061003740346,299.12261385524084,default
Random Forest,core + interactions + autoregressive + trend,922.1311610486891,410.6532052374572,1094.3336706274251,368.3248345926938,depth=None; leaf=1; estimators=400
Random Forest,core + interactions + autoregressive,924.3985674157303,401.2562107953569,1089.3718980531878,357.73734193078053,depth=None; leaf=1; estimators=400
Random Forest,core,962.3015569414551,386.21262990991795,1111.2506820647804,355.85972549582266,depth=8; leaf=1; estimators=400
Random Forest,core + interactions,974.2663670411985,381.94305922060516,1121.1302746751326,352.8184301913062,depth=None; leaf=1; estimators=400
K-Nearest Neighbors,core,1056.409920335056,349.2611123223511,1269.4222632319868,281.7652064500083,neighbors=3; weights=distance
K-Nearest Neighbors,core + interactions,1068.6350267199743,335.800343470153,1269.8903306847967,266.16466720719563,neighbors=3; weights=distance
K-Nearest Neighbors,core + interactions + autoregressive + trend,1093.190941755541,553.9110816201699,1314.6618040096362,483.35840300663506,neighbors=11; weights=distance
K-Nearest Neighbors,core + interactions + autoregressive,1123.6894011838497,535.1031606482991,1327.084302754728,476.198824075052,neighbors=9; weights=distance
