Subject Code,Subject Name,Type,Status
SEP401,Software Engineering Principles,Core,✅ Done
HCD302,Human Centred Design,Core,❌ Missing
SBD403,Secure by Design,Core,❌ Missing
SDM404,Software Development Management,Core,✅ Done
MFA501,Mathematical Foundations of AI,AI Specialisation,❌ Missing
REM502,Research Methodologies,Core,✅ Done
ISY503,Intelligent Systems,AI Specialisation,❌ Missing
ELECTIVE 1,Elective Subject,Elective,✅ Done
MLN601,Machine Learning,AI Specialisation,❌ Missing
DLE602,Deep Learning,AI Specialisation,❌ Missing
TWL604,Technology - Work Integrated Learning,Work-Integrated Learning,❌ Missing
ATW606,Advanced Technology - Work Integrated Learning,Work-Integrated Learning,❌ Missing
ELECTIVE 2,Elective Subject,Elective,❌ Missing
