Date,Score,Comment,Store,Year
02/1/2022 13:04:01,10 - Excelente!,Muito bom,Tatuapé,2022
02/2/2022 12:54:02,9 - Ótimo,Muito bom sem críticas,Tatuapé,2022
02/2/2022 15:12:20,10 - Excelente!,Atendimento excepcional por toda equipe,Tucuruvi,2022
02/2/2022 16:00:41,10 - Excelente!,Om,Sorocaba,2022
02/2/2022 18:35:15,10 - Excelente!,"No app da Loja Renner, na aba CARTOES, não se consegue gerar direito o boleto para pagamento, de forma objetiva.",Tijuca,2022
02/2/2022 21:28:24,10 - Excelente!,São ótimos.,Lapa,2022
02/3/2022 14:19:46,10 - Excelente!,"Atendimento super pontual, cheguei na unidade e logo fui atendida.",Ipiranga,2022
02/3/2022 15:37:37,10 - Excelente!,Top atendimento,Lapa,2022
02/3/2022 19:25:30,10 - Excelente!,Todas atendentes são bem atenciosas,Lapa,2022
02/3/2022 20:40:35,10 - Excelente!,"As pessoas são bem receptivas, toda informação é bem clara.",Lapa,2022
02/4/2022 8:25:20,5 - Médio,No retorno não foi aplicado a quantidade necessária para sustentação local.. Muita insatisfação Não voltarei !+,Santo Amaro,2022
02/4/2022 10:26:29,10 - Excelente!,Mais atenção na agenda para não haver atrasos,Santo Amaro,2022
02/4/2022 12:55:32,10 - Excelente!,Foi tudo ótimo,Belo Horizonte,2022
02/4/2022 13:00:33,8 - Bom,Esta otimo,Santo Amaro,2022
02/4/2022 16:50:04,8 - Bom,Não tem,Paulista,2022
02/4/2022 17:04:32,10 - Excelente!,"Estou muito feliz no meu tratamento , realizei um sonho de anos. E as meninas muito simpáticas e tbm convincentes e acabei fazendo e vi muita mudança em tudo até minha auto estima",Moema,2022
02/6/2022 19:48:45,9 - Ótimo,Foi ótimo,Barra da Tijuca,2022
02/6/2022 19:50:07,9 - Ótimo,"Ótimo atendimento de todas funcionárias, são todas atenciosas!!!",Londrina,2022
02/7/2022 8:47:30,10 - Excelente!,"Atendimento muito bom. Pontual, profissional discreta e muito atenciosa.",Belo Horizonte,2022
02/7/2022 8:47:34,10 - Excelente!,.,Ipiranga,2022
02/7/2022 8:47:38,10 - Excelente!,"Amei, mas fiz um preenchimento labial e não agendaram retorno p reavaliar",Moema,2022
02/7/2022 8:47:38,10 - Excelente!,Não tenho pontos a adicionar,Paulista,2022
02/7/2022 8:47:52,10 - Excelente!,"Fui bem atendida e fizeram retoque das olheiras, pq uma tinha ficado mais preenchida q outra. A médica disse q teria de comprar outro preenchimento, mas foi liberado pela consultora, que me atendeu bem desde a primeira vez",Tucuruvi,2022
02/7/2022 8:47:56,10 - Excelente!,.,Tatuapé,2022
02/7/2022 8:47:58,10 - Excelente!,O atendimento das meninas foi maravilhoso! Agradeço toda a atenção!,Santos,2022
02/7/2022 8:47:58,9 - Ótimo,Bom atendimento,Santos,2022
02/7/2022 8:48:00,10 - Excelente!,A Stella é uma boa profissional,Ipiranga,2022
02/7/2022 8:48:02,10 - Excelente!,Equipe maravilhosa,Ipiranga,2022
02/7/2022 8:48:04,10 - Excelente!,"A colaboradora da unidade de Londrina Ariane é uma ótima profissional, sempre muito bom ser atendida por ela. Mantenha profissionais assim...",Londrina,2022
