"Date","Score","Store","Year","Comment"
"06/27/2024 08:07:37","9","TikTok_Porto_Alegre","2024","FELIZ NO SIMPLES!!"
"06/27/2024 11:34:36","8","Social_Media_Hub","2024","O marido da minha amiga não aceita ela peidar perto dele e eles estão juntos a uns 8 anos kkkkkkkkkkk ele tem pânico se ela fizer isso"
"06/27/2024 11:52:43","8","TikTok_Porto_Alegre","2024","eu devo ser mt amargurada mesmo"
"06/27/2024 12:07:36","8","TikTok_Fortaleza","2024","Eu faço ânsia de vômito kkkkk"
"06/27/2024 12:49:56","7","TikTok_Fortaleza","2024","Kkkkk a liberdade!"
"06/27/2024 12:51:52","8","Digital_Platform","2024","O jeito dele 😂 e a risada dela é a melhor 😂😂isso sim é um relacionamento saudável 😂😂😂😂"
"06/27/2024 13:15:00","7","TikTok_SP","2024","Esse terceiro aí borrou kkkkk"
"06/27/2024 13:19:42","8","TikTok_Curitiba","2024","aqui um peida e sai correndo 😂😂😂😂"
"06/27/2024 14:52:44","8","TikTok_Porto_Alegre","2024","Tenho um ódio tão grande de quem peida perto de mim"
"06/27/2024 16:05:28","8","Digital_Platform","2024","aqui também peida muito"
"06/27/2024 17:10:11","7","TikTok_Recife","2024","O meu vem com a fabricaçao de movimentar a perna pra sair tudo 😂😂😂😂😂"
"06/27/2024 18:07:18","10","TikTok_Brasília","2024","Meu namorado solta pum de baixo do coberto 😅"
"06/27/2024 20:19:27","8","TikTok_Salvador","2024","Eu aqui to até gostando do cheiro"
"06/27/2024 20:47:41","4","Social_Media_Hub","2024","Odeio que peide perto de mim"
"06/27/2024 21:22:05","10","Digital_Platform","2024","Edit: acomoanhem nosso canal de viagens na rede vermelha: @Pelo Mundo Afora 🌏 Ligou a motoca e foi embora #foryou #amor #casal"
"06/27/2024 23:55:30","7","Social_Media_Hub","2024","Que povo amargurado nesses comentários kkkkkk imagina morar com a pessoa há anos e ter que ficar segurando um peido?"
"06/28/2024 08:34:01","7","TikTok_Curitiba","2024","Um monte que aceita chifre, mas peido é imperdoável 😂😂😂😂😂😂"
"06/28/2024 11:36:21","10","TikTok_BH","2024","Vamos peitar e sejamos felizes😂😂😂"
"06/28/2024 11:53:41","8","Social_Media_Hub","2024","eu as vezes sai bem alto eu comessou a rir kkkkkkke digo ainda que não foi eu"
"06/28/2024 12:16:00","8","TikTok_Curitiba","2024","eu perco o interesse, mais cada um com sua felicidade!"
"06/28/2024 12:20:30","7","TikTok_Curitiba","2024","10 anos por aqui com meu marido. esse nível de intimidade aí qual é inabalável kkkkkk"
"06/28/2024 12:33:19","8","TikTok_Recife","2024","Ahh não eu não aceito e detesto"
"06/28/2024 16:27:26","8","TikTok_RJ","2024","Meu boy me abraça bem na hora de peidar🤨"
"06/28/2024 16:28:28","1","TikTok_Curitiba","2024","fala sério eu odeio isso😳"
"06/28/2024 16:58:51","8","TikTok_Porto_Alegre","2024","Intimidade é tudo. 😂😂😂😂😂"
"06/28/2024 17:30:34","8","TikTok_BH","2024","Uma coisa eu falo isso se chama relacionamento saudável kkkkkkkk e outra coisa quem tem cu peida. 😂"
"06/28/2024 18:50:15","7","TikTok_RJ","2024","Só dá uma raiva 🤣🤣🤣"
"06/28/2024 19:29:41","10","TikTok_Porto_Alegre","2024","meu casamento só é feliz porque a gente peida um na frente do outro né"
"06/28/2024 19:34:46","7","TikTok_Porto_Alegre","2024","só vou te marcar sem muitas informações 😂😂😂😂"
"06/28/2024 21:14:46","7","Online_Community","2024","4 anos de casamento e por aqui é a mesma coisa kkkkkkkkkkkkkk"
"06/28/2024 22:27:21","8","TikTok_SP","2024","Gente só eu que não consigo ser assim ele peida perto de mim eu saio correndo kkkkkkkk"
"06/29/2024 08:26:58","7","TikTok_BH","2024","Eu sou ela 😅😅 fico é rindo"
"06/29/2024 09:09:17","8","TikTok_Salvador","2024","Faz isso uma vez eu já termino. Pregas soltas e tremenda falta de educação. Tenho certeza que com a amante ele não faz isso"
"06/29/2024 12:45:03","8","TikTok_BH","2024","Ele podia se inclinar pro outro lado, mas ele escolhe mirar em vocês 🤯🤯🤯🤯🤯"
"06/29/2024 14:37:51","8","TikTok_Salvador","2024","Tanta gente aqui a comentar que não deve peidar coitadas"
"06/29/2024 14:47:42","8","TikTok_RJ","2024","A vida à dois é mto melhor com essas bobeira do dia dia😂😂"
"06/29/2024 17:04:02","7","TikTok_Fortaleza","2024","kkkkk casamento e isso temque suporta kkk"
"06/29/2024 18:19:36","7","Digital_Platform","2024","Ah gente, isso é nojento, falta de educação! Não normalizem isso no relacionamento de vcs."
"06/29/2024 18:22:03","8","Digital_Platform","2024","Não acredito que problematizaram peido"
"06/29/2024 18:59:27","9","TikTok_SP","2024","Amor verdadeiro esse aí ó"
"06/29/2024 22:11:32","8","TikTok_RJ","2024","o.ladrao da xj vendo isso kk [photo]"
"06/29/2024 23:23:24","7","TikTok_RJ","2024","Acaba com T na hora 🙄"
"06/29/2024 23:57:54","8","TikTok_BH","2024","Ai q fase pessoal aceita gaia mas n aceita um peido kkk tem tanta coisa q realmente é falta de respeito kkkkkkkk"
"06/30/2024 08:19:58","7","TikTok_Salvador","2024","caramba como tem alguém que não aceita isso? aqui meu marido falta joga merda na minha cara kkkkkkkkk"
"06/30/2024 08:29:02","7","TikTok_Curitiba","2024","kakakakakakakakakakaka tá que nem aqui em casa"
"06/30/2024 10:56:43","8","TikTok_Recife","2024","Need part 2 😂😂"
"06/30/2024 13:19:05","7","TikTok_Fortaleza","2024","Afff não tem graça"
"06/30/2024 14:41:06","8","TikTok_SP","2024","Eu e o meu marido aí 😂"
"06/30/2024 15:28:35","7","TikTok_Fortaleza","2024","Tenho pavor q façam isso perto de mim"
"06/30/2024 16:04:28","7","TikTok_Porto_Alegre","2024","duvido ele peidar na cara da outra 🤣🤣🤣🤣"
"06/30/2024 16:45:55","5","TikTok_Salvador","2024","gente me desculpe acho que sou chata de mais , por que eu odeio isso , quer peidar vai no banheiro , não gosto ."
"06/30/2024 17:12:50","8","TikTok_BH","2024","o povo bravo nos comentários"
"06/30/2024 17:15:28","8","TikTok_Salvador","2024","Eu tb falava isso de que cmg não acontecia, não admito peido, falta de respeito… aí parei no hospital por causa de peido e eu nunca mais vou segurar minhas metralha perto do mozão, jamais"
"06/30/2024 18:10:57","8","TikTok_Porto_Alegre","2024","Naiane / 나야니 🫰🏻"
"06/30/2024 18:39:39","8","TikTok_Recife","2024","Motivo de término,ainda tem gente que aplaude essa falta de educação"
"06/30/2024 18:51:25","8","TikTok_Recife","2024","Não desliga que eu quero dar uma volta 🛵"
"06/30/2024 20:24:57","7","TikTok_BH","2024","Nenhuma experiência é única mesmo 😂"
"06/30/2024 21:19:16","7","Digital_Platform","2024","Aí ela pergunta : oque vc comeu ? E ele fala carniça 🤡"
"06/30/2024 23:24:06","6","TikTok_Fortaleza","2024","Gente, odeio! Me julguem"
"07/01/2024 08:04:52","3","TikTok_Recife","2024","Eu tenho nojo! Real!"
"07/01/2024 08:19:21","7","TikTok_SP","2024","Eu quando tô na casa de boy seguro o peido de vergonha nossa meu pai era assim com a minha mãe ele judiou tanto dela, sinais…"
"07/01/2024 08:30:01","7","TikTok_BH","2024","isso é felicidade 😄"
"07/01/2024 08:49:45","7","TikTok_Porto_Alegre","2024","Isso acaba com o encanto"
"07/01/2024 11:17:37","8","TikTok_Fortaleza","2024","Calma demais kkkkkkk meu faz isso e eu faço sumir do ambiente imediatamente"
"07/01/2024 11:24:17","8","TikTok_Fortaleza","2024","Eu não gosto, tenho uma raiva do caramba , ainda bem que aqui não rola isso , mas se pra o casal é de comum acordo beleza kkkk"
"07/01/2024 11:47:59","8","TikTok_BH","2024","Pode ter certeza que esse casal é mais fiel e apaixonado do que muitos aqui que estão comentando bosta 👍"
"07/01/2024 13:40:53","8","Digital_Platform","2024","quando eu fui conhecer minha sogra ,meu marido peido encima da cabeça do gato dela 😂😂😂😂"
"07/01/2024 15:43:37","9","TikTok_Salvador","2024","Ah eu e meu namorado somos assim 😂😂😂"
"07/01/2024 15:46:51","8","TikTok_Porto_Alegre","2024","Eu assisti com uma cara, ainda bem que ngm viu… devo ser uma chata msm, só o barulho me incomodou af"
"07/01/2024 16:06:25","9","TikTok_Porto_Alegre","2024","Gente, tenho amigos que acham normal mas eu não curto kk sou casada a 15 anos e nós dois temos o mesmo pensamento. Tem certas coisas que é desnecessário sabe ? Não vou no banheiro quando ele está e vice versa, não peidamos perto do outro, arroto tbm não. Quando Vejo essas cenas fico chocada kk mas está tudo bem! Se você acha normal cada um segue seu estilo e tá tudo certo."
"07/01/2024 16:22:18","8","TikTok_RJ","2024","Deus me free 😂 odiada em voz alta kkkk"
"07/01/2024 16:47:28","7","Social_Media_Hub","2024","eu vômito 😔 só de sabe que alguém tá peidando"
"07/01/2024 16:48:13","7","TikTok_Fortaleza","2024","Esse “cano de descarga” tá furado 😆😂🤣"
"07/01/2024 17:14:54","10","Online_Community","2024","Minha namorada diz que me ama mesmo eu peidando podre"
"07/01/2024 18:26:57","6","Digital_Platform","2024","Odeio esse tipo coisa"
"07/01/2024 20:28:18","10","TikTok_BH","2024","eu não consigo!! kkkkkk mas acho legal que o casal tem a vibe boa!! papai do céu abençoe vcs!!!"
"07/01/2024 20:34:49","7","Online_Community","2024","eu saio chingando ele de todos os nomes, eu não peido perto de ninguém e não aceito que faça isso perto de mim."
"07/01/2024 21:01:30","7","TikTok_Recife","2024","kkkk mulheres como a gnt são raridades 🤣😅🤭"
"07/01/2024 21:19:44","7","Digital_Platform","2024","saiu molhado kkk certeza! 😂😂😂😂"
"07/01/2024 21:46:20","8","TikTok_Porto_Alegre","2024","Essa mulher tá com a terapia em dia 🤣🤣🤣🤣"
"07/02/2024 09:45:00","8","Digital_Platform","2024","Tão problematizando peido kkkkkkkkkkkkkkkkkk aí gnt"
"07/02/2024 09:47:00","8","TikTok_Curitiba","2024","aqui em casa ele peida e eu respondo kkkkkkkkkkkkk 11 anos de casado"
"07/02/2024 09:58:21","7","TikTok_Porto_Alegre","2024","eu nao faço isso de jeito nenhum.... que horror.... dormindo sem perceber é uma coisa..assim nao.."
"07/02/2024 12:27:05","8","TikTok_RJ","2024","Eu peido minha esposa responde. É quase uma nova língua para comunicação 🤣🤣🤣"
"07/02/2024 13:12:17","10","TikTok_Porto_Alegre","2024","Eu nunca vi nem minha mãe nem meu pai peidando, eles sempre disse que era falta de respeito, mais entre eu e meus irmãos era competição 😂 casei nem preciso dizer mais nada neh! É só bomba atrás de bomba 😂😂😂"
"07/02/2024 13:48:04","10","Social_Media_Hub","2024","qual a graça disso, educação zero se fizer isso perto de mim eu termino o relacionamento na hora afff... amor não suporta tudo não."
"07/02/2024 14:12:14","7","TikTok_Fortaleza","2024","povo amargurado que se incomoda com o pum do parceiro/parceria kkkkkkk Jesus amado"
"07/02/2024 14:34:45","7","TikTok_Salvador","2024","Se fosse ela, ele largava e nunca mais olhava pra ela!"
"07/02/2024 15:25:57","7","TikTok_Brasília","2024","Ai tu vê um homem bonito desse na rua nem imagina😂😂😂😂😂😂😂😂😂 cruzes"
"07/02/2024 16:12:01","10","TikTok_BH","2024","kkkkkkkkkk eu amo essa intimidade, e a liberdade de ser quem realmente somos com quem amamos! 🥰🤏🏼"
"07/02/2024 16:17:17","7","TikTok_SP","2024","povo falando falta de respeito pra mim e o auge da intimidade cria vínculos fortalece a união"
"07/02/2024 18:18:48","8","TikTok_Salvador","2024","eu tenho raiva de quem peida perto de mim"
"07/02/2024 19:58:19","7","Online_Community","2024","Aqui em casa não dá pra brincar assim, sempre apanho na minha vez. 😏"
"07/02/2024 20:16:08","8","TikTok_Fortaleza","2024","Meu marido faz isso comigo. Mas eu nunca fiz com ele kkk não consigo gente. Acho extremamente falta de respeito"
"07/02/2024 20:22:07","8","TikTok_BH","2024","Em dúvida se a cachorra acostumou com cheiro , ou se esta falecida 😂😂😂😂😂😂😂😂😂😂"
"07/02/2024 20:53:18","9","TikTok_Recife","2024","Eu sendo ela 🤣 tive que liberar meu namorado pra ele ter paz, coitado sofria 🤣🤣"
"07/02/2024 21:42:13","8","Online_Community","2024","misericórdia, eu senti uma ânsia de vômito"
"07/02/2024 21:48:14","8","TikTok_BH","2024","Melou a cueca no final"
"07/02/2024 22:11:57","8","Social_Media_Hub","2024","ai quês comentário insuportáveis sério Kkkk!!! Qual problema de peidar gente??? ainda mais c seu companheiro que convive c vc todos os dias?? O marido de vocês q n peida assim na frente de vcs é pq vcs são umas chatas e eles n se sente confortável, fim 🤗🤗🤗 que lindo é estar c alguém que faça nós se sentir nos mesmo . Tchau"
"07/02/2024 22:42:18","7","TikTok_Porto_Alegre","2024","gente acho q vcs esqueceram q peidar é normal 😂 e quem n gostar de peido é só n casar com alguém q peide perto de vc"
"07/02/2024 23:21:07","8","TikTok_Porto_Alegre","2024","Vocês tem que aprender que peidar é normal viu,inclusive fiquem assegurando que vai dar nó nas tripas 🤣🤣🤣"
"07/03/2024 08:07:12","8","Social_Media_Hub","2024","uai não vejo problema nenhum 🤣🤣🤣 super normal faço direto"
"07/03/2024 09:09:14","8","TikTok_SP","2024","estou há 17 anos casada e nunca meu marido fez isso comigo acho o cúmulo da falta de respeito e de manutenção do casamento não tem necessidade nenhuma disso casal assim pra mim parecem mais irmãos"
"07/03/2024 09:17:06","7","Digital_Platform","2024","Eu sou assim, cada peido uma risada kkkk"
"07/03/2024 10:16:06","7","TikTok_Fortaleza","2024","Genteeeeeeee kkkkkkkk. Aqui em casa é a mesma coisa"
"07/03/2024 10:42:52","7","Digital_Platform","2024","meu esposo kkkkkk e assim kkkkkk"
"07/03/2024 11:01:44","8","TikTok_Salvador","2024","Desliguei não deixa eu dar uma voltinha!"
"07/03/2024 11:25:29","7","TikTok_Brasília","2024","eu fiquei com dó foi do cachorro, o coitado quase ficou sem pelos 😅😅"
