Date,Score,Store,Year,Comment
2/01/2022 13:04,10,Store A,2022,Very good
2/02/2022 12:54,9,Store A,2022,"Very good, no criticism"
2/02/2022 15:12,10,Store B,2022,Exceptional service by the entire team
2/02/2022 16:00,10,Store C,2022,Om
2/02/2022 18:35,10,Store D,2022,"In the Loja Renner app, in the CARDS tab, it is not possible to generate the payment slip objectively."
2/02/2022 21:28,10,Store A,2022,They are great.
2/03/2022 14:19,10,Store B,2022,"Super punctual service, I arrived at the unit and was immediately attended to."
2/03/2022 15:37,10,Store A,2022,Top service
2/03/2022 19:25,10,Store A,2022,All attendants are very attentive
2/03/2022 20:40,10,Store A,2022,"People are very receptive, all information is very clear."
2/04/2022 8:25,5,Store C,2022,"Upon return, the amount needed for local support was not applied. Very dissatisfied. I will not return!"
2/04/2022 10:26,10,Store C,2022,Pay more attention to the schedule to avoid delays
2/04/2022 12:55,10,Store D,2022,It was all great
2/04/2022 13:00,8,Store C,2022,It's great
2/04/2022 16:50,8,Store A,2022,It does not have
2/04/2022 17:04,10,Store B,2022,"I am very happy with my treatment, I fulfilled a dream of years. And the girls were very friendly and also convincing and I ended up doing it and I saw a lot of change in everything, including my self-esteem."
2/06/2022 19:48,9,Store C,2022,It was amazing
2/06/2022 19:50,9,Store D,2022,"Great service from all employees, they are all attentive!!!"
2/07/2022 8:47,10,Store D,2022,"Very good service. Punctual, discreet and very attentive professional."
2/07/2022 8:47,10,Store B,2022,.
2/07/2022 8:47,10,Store B,2022,"I loved it, but I had lip fillers and they didn't schedule a follow-up to reevaluate."
2/07/2022 8:47,10,Store A,2022,I have no points to add
2/07/2022 8:47,10,Store B,2022,"I was well attended to and they touched up my dark circles, because one had become fuller than the other. The doctor said I would have to buy another filler, but the consultant, who treated me well from the first time, gave me permission."
2/07/2022 8:47,10,Store A,2022,.
2/07/2022 8:47,10,Store A,2022,The girls' service was wonderful! I appreciate all the attention!
2/07/2022 8:47,9,Store A,2022,Good service
2/07/2022 8:48,10,Store B,2022,Stella is a good professional
2/07/2022 8:48,10,Store B,2022,Wonderful team
2/07/2022 8:48,10,Store D,2022,"The employee at the Londrina unit, Ariane, is a great professional. It's always great to be served by her. Keep up the good work with professionals like her..."
2/07/2022 8:48,10,Store A,2022,"I was very well attended to from reception, sales and procedure attendant"
2/07/2022 8:48,10,Store B,2022,Great service
2/07/2022 8:48,9,Store D,2022,"Excellent service, impeccable cleanliness and organization of the clinic! It was a great experience!"
2/07/2022 8:48,9,Store B,2022,I'm just loving everything
2/07/2022 8:48,10,Store A,2022,.
2/07/2022 8:48,10,Store C,2022,The girls are super attentive. I have nothing to complain about.
2/07/2022 8:48,4,Store A,2022,"I have nothing to say, just congratulations."
2/07/2022 8:48,10,Store A,2022,It's always a great energy to be at the Tatuapé unit ❤️
2/07/2022 8:48,6,Store B,2022,Improve scheduling and hire more professionals
2/07/2022 8:48,10,Store A,2022,"I was very well attended to, everyone was very friendly."
2/07/2022 8:48,10,Store A,2022,excellent
2/07/2022 8:48,8,Store A,2022,Smooth service No delays
2/07/2022 8:48,10,Store A,2022,Have more promotions to continue treatment
2/07/2022 8:48,10,Store A,2022,On the day they could have warned that they were without one of the pieces of equipment and rescheduled my session
2/07/2022 8:48,10,Store A,2022,I really enjoyed all the procedures!
2/07/2022 8:48,10,Store C,2022,"Nothing to suggest, everything was perfect!"
2/07/2022 8:48,10,Store A,2022,Great service
2/07/2022 8:48,10,Store B,2022,No comments
2/07/2022 8:48,10,Store B,2022,everything wonderful
2/07/2022 8:48,10,Store A,2022,nothing to comment for now
2/07/2022 8:48,10,Store C,2022,"I loved the service, the doctor was super friendly and attentive. I loved everything."
2/07/2022 8:48,4,Store A,2022,"The employee who applied the injections to me arrived 20 minutes late, didn't say anything about the delay, wanted to hurry up and end the session early. I was in unreal pain, even crying, she never tried to calm me down or be polite. She said the session lasts 20 minutes, I should decide whether to continue or stop. I understand her point of view, but she is super rude."
2/07/2022 8:48,10,Store D,2022,Great service.
2/07/2022 8:48,10,Store A,2022,Always very attentive.
2/07/2022 8:49,10,Store B,2022,No comments
2/07/2022 8:49,10,Store B,2022,Your team here in Campinas is super attentive. I feel like I'm among friends.
2/07/2022 8:49,7,Store D,2022,It was done quickly and still comes out with a lot of cloves.
2/07/2022 8:49,10,Store A,2022,I didn't like the result of the filler! I'll wait for the 30-day period to see if I'll get the expected result!
2/07/2022 8:49,10,Store C,2022,.
2/07/2022 8:49,10,Store D,2022,"Very good service, great professional"
2/07/2022 8:49,10,Store B,2022,"I liked what I was doing, I was very well received"
2/07/2022 8:49,10,Store B,2022,"Just a matter of meeting the scheduled times, this time I was waiting half an hour"
2/07/2022 8:49,10,Store B,2022,I think the calendar could be made available in an app and then you could only confirm it by calling/whatsapp
2/07/2022 8:49,10,Store D,2022,Very good service
2/07/2022 8:49,7,Store A,2022,"Good morning. I would like the clinic to call the person 1 day before the appointment to confirm the person's attendance and to remind them. I am having my knees and elbows whitened in 3 sessions. I did the second one and I still am not seeing the desired results. I found the products to be too weak for the stain. These products are more for whitening the face and not knees and elbows. Thank you, Sandra Pinheiro dos Santos"
2/07/2022 8:49,10,Store A,2022,Great atmosphere and excellent service!
